WEO Country Code;ISO;WEO Subject Code;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;2008;2009;2010;Estimates Start After
512;AFG;NGDP_RPCH;Afghanistan, Rep. of.;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.482;8.316;8.151;2006
512;AFG;PCPIPCH;Afghanistan, Rep. of.;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;24.000;9.463;6.000;2007
512;AFG;LUR;Afghanistan, Rep. of.;Unemployment rate;Percent of total labor force;;;;;;
914;ALB;NGDP_RPCH;Albania;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.115;6.270;6.200;2006
914;ALB;PCPIPCH;Albania;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.952;3.050;2.860;2007
914;ALB;LUR;Albania;Unemployment rate;Percent of total labor force;;;;;;
612;DZA;NGDP_RPCH;Algeria;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.858;4.528;5.137;2007
612;DZA;PCPIPCH;Algeria;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.300;4.050;3.700;2007
612;DZA;LUR;Algeria;Unemployment rate;Percent of total labor force;;;;;;
614;AGO;NGDP_RPCH;Angola;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;15.973;12.816;11.932;2006
614;AGO;PCPIPCH;Angola;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.081;9.279;6.349;2007
614;AGO;LUR;Angola;Unemployment rate;Percent of total labor force;;;;;;
311;ATG;NGDP_RPCH;Antigua and Barbuda;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.092;4.009;4.458;2007
311;ATG;PCPIPCH;Antigua and Barbuda;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.000;2.000;2.000;2007
311;ATG;LUR;Antigua and Barbuda;Unemployment rate;Percent of total labor force;;;;;;
213;ARG;NGDP_RPCH;Argentina;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.500;3.600;3.000;2007
213;ARG;PCPIPCH;Argentina;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.054;9.085;8.978;2007
213;ARG;LUR;Argentina;Unemployment rate;Percent of total labor force;;;;;;
911;ARM;NGDP_RPCH;Armenia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;10.000;8.000;7.000;2007
911;ARM;PCPIPCH;Armenia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.400;5.000;4.500;2007
911;ARM;LUR;Armenia;Unemployment rate;Percent of total labor force;;;;;;
193;AUS;NGDP_RPCH;Australia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.489;2.244;3.072;2007
